# submitted_item	validated_id	current_symbol
dec1	FBgn0000427	dec-1
DIP1	FBgn0024807	DIP1
DIP1	FBgn0027790	GV1
DIP1	FBgn0040467	Dlip1
DIP2	FBgn0024806	DIP2
DIP2	FBgn0262738	norpA
DIP2	FBgn0040466	Dlip2
Dip-B	FBgn0000454	Dip-B
Dip-C	FBgn0000455	Dip-C
Dis3	FBgn0039183	Dis3
dj-1beta	FBgn0039802	dj-1beta
dl	FBgn0260632	dl
dl	FBgn0000463	Dl
dl	FBgn0005023	dpl
Dlc90F	FBgn0024432	Dlc90F
dlg1	FBgn0001624	dlg1
dlg1	FBtp0084062	P{hb[Delta.dlg1]}
Dlic2	FBgn0030276	Dlic
dlt	FBgn0024510	dlt
dlt	FBgn0067864	Patj
DMAP1	FBgn0034537	DMAP1
Dmn	FBgn0021825	DCTN2-p50
DmX	FBgn0023458	Rbcn-3A
DnaJ-1	FBgn0263106	DnaJ-1
DNApol-alpha180	FBgn0259113	DNApol-alpha180
DNApol-alpha50	FBgn0011762	DNApol-alpha50
DNApol-alpha60	FBgn0259676	DNApol-alpha60
DNApol-alpha73	FBgn0005696	DNApol-alpha73
DNApol-delta	FBgn0263600	DNApol-delta
DNApol-epsilon	FBgn0264326	DNApol-epsilon255
DNApol-epsilon	FBgn0035644	DNApol-epsilon58
DNApol-eta	FBgn0037141	DNApol-eta
DNaseII	FBgn0000477	DNaseII
dNAT1	FBgn0010488	NAT1
dock	FBgn0010583	dock
dod	FBgn0015379	dod
dom	FBgn0020306	dom
dome	FBgn0043903	dome
dor	FBgn0000482	dor
dor	FBal0002729	dor[1]
dor	FBal0180144	dor[unspecified]
Dox-A2	FBgn0261396	Rpn3
Dp	FBgn0011763	Dp
Dp	FBab0024254	Ts(YLt;3Lt)A109+Ts(YSt;3Rt)G144
Dp	FBab0024256	Ts(YLt;3Lt)A154+Ts(YLt;3Rt)J17
Dp	FBab0024260	Ts(YLt;3Lt)B155+Ts(YLt;3Rt)J17
Dp	FBab0024269	Ts(YLt;3Rt)L132+Ts(YLt;3Lt)L136
Dp	FBab0024280	Ts(YSt;3Lt)D85+Ts(YSt;3Rt)L136
Dp	FBab0024282	Ts(YSt;3Rt)A109+Ts(YLt;3Lt)L136
Dp	FBab0024284	Ts(YSt;3Rt)A109+Ts(YSt;3Lt)D85
Dp	FBab0024285	Ts(YSt;3Rt)A154+Ts(YLt;3Lt)B155
Dp	FBab0024286	Ts(YSt;3Rt)A154+Ts(YLt;3Lt)G144
Dp	FBab0024288	Ts(YSt;3Rt)A154+Ts(YSt;3Lt)L132
Dp	FBab0024289	Ts(YSt;3Rt)B155+Ts(YLt;3Lt)G144
Dp	FBab0024291	Ts(YSt;3Rt)B155+Ts(YSt;3Lt)L132
Dp	FBab0024292	Ts(YSt;3Rt)G144+Ts(YLt;3Lt)L136
Dp	FBab0024293	Ts(YSt;3Rt)G144+Ts(YSt;3Lt)L132
Dp	FBgn0011766	E2f1
Dp	FBgn0053196	dpy
Dp	FBal0003107	Dr[1]
Dp1	FBgn0027835	Dp1
Dp1	FBgn0011763	Dp
dpa	FBgn0015929	dpa
Dph5	FBgn0024558	Dph5
Dph5	FBgn0024558	Dph5
Dpit47	FBgn0266518	Dpit47
DppIII	FBgn0037580	DppIII
drd	FBgn0260006	drd
dre4	FBgn0002183	dre4
Dredd	FBgn0020381	Dredd
Dredd	FBgn0020381	Dredd
Dref	FBgn0015664	Dref
drk	FBgn0004638	drk
drk	FBgn0004638	drk
dro6	FBgn0052268	Drsl6
Droj2	FBgn0038145	Droj2
drosha	FBgn0026722	drosha
Drp1	FBgn0026479	Drp1
dsh	FBgn0000499	dsh
dsh	FBal0003138	dsh[1]
Dsor1	FBgn0010269	Dsor1
Dsp1	FBgn0278608	Dsp1
Duox	FBgn0283531	Duox
dup	FBgn0000996	dup
dUTPase	FBgn0250837	dUTPase
Dyb	FBgn0033739	Dyb
dyn-p25	FBgn0040228	DCTN5-p25
E(bx)	FBgn0000541	E(bx)
E(Pc)	FBgn0000581	E(Pc)
E(Pc)	FBal0003311	E(Pc)[1]
e(r)	FBgn0011586	e(r)
e(y)1	FBgn0000617	e(y)1
e(y)2	FBgn0000618	e(y)2
e(y)3	FBgn0087008	e(y)3
E(z)	FBgn0000629	E(z)
E23	FBgn0020445	E23
E23	FBgn0025751	l(3)93Dl
E23	FBal0093910	l(3)93Dl[E23]
E23	FBal0101570	Rel[E23]
E23	FBti0145770	P{GAL4}E23
E2f2	FBgn0024371	E2f2
Eaat1	FBgn0026439	Eaat1
Eaf6	FBgn0035624	Eaf6
eap	FBgn0052099	CG32099
eas	FBgn0000536	eas
Eb1	FBgn0027066	Eb1
ebi	FBgn0263933	ebi
eca	FBgn0069242	eca
ecd	FBgn0000543	ecd
eco	FBgn0035766	eco
ECSIT	FBgn0028436	ECSIT
Ect3	FBgn0260746	Ect3
Ect4	FBgn0262579	Sarm
ed	FBgn0000547	ed
Edc3	FBgn0036735	Edc3
Edem2	FBgn0032480	Edem2
EDTP	FBgn0027506	EDTP
eEF1delta	FBgn0032198	eEF1delta
eEF1delta	FBgn0032198	eEF1delta
Ef1alpha100E	FBgn0000557	eEF1alpha2
Ef1alpha48D	FBgn0284245	eEF1alpha1
Ef1beta	FBgn0028737	eEF1beta
Ef1gamma	FBgn0029176	eEF1gamma
Ef2b	FBgn0000559	eEF2
eff	FBgn0011217	eff
EfSec	FBgn0034627	eEFSec
EfTuM	FBgn0024556	mEFTu1
EG:100G10.6	FBgn0024993	CG2662
EG:100G10.7	FBgn0024992	Spg7
EG:103E12.2	FBgn0040398	CG14629
EG:103E12.3	FBgn0040397	CG3655
EG:131F2.3	FBgn0026090	CG14812
EG:132E8.1	FBgn0024987	ssx
EG:132E8.3	FBgn0024986	CG3719
EG:140G11.5	FBgn0040396	CG3939
EG:171D11.2	FBgn0023536	CG3156
EG:25E8.1	FBgn0023529	CG2918
EG:25E8.3	FBgn0023527	CG3071
EG:33C11.2	FBgn0026876	CG11403
EG:34F3.4	FBgn0025621	CG16989
EG:34F3.8	FBgn0260855	Sec22
EG:39E1.1	FBgn0023522	CG11596
EG:39E1.2	FBgn0023521	CG3587
EG:39E1.3	FBgn0023520	CG3857
EG:52C10.1	FBgn0028744	CG5033
EG:56G7.1	FBgn0025390	Mur2B
EG:65F1.1	FBgn0024983	CG4293
EG:86E4.3	FBgn0023510	Rbcn-3B
EG:86E4.5	FBgn0023508	Ocrl
EG:BACN32G11.3	FBgn0027794	Lrpprc2
EG:BACR42I17.10	FBgn0040367	CG11382
EG:BACR42I17.2	FBgn0040364	CG11378
EG:BACR7A4.17	FBgn0040346	CG3704
EG:BACR7C10.1	FBgn0040336	Seipin
EG:BACR7C10.2	FBgn0267350	Pi4KIIIalpha
EG:EG0007.12	FBgn0026083	tyf
Egfr	FBgn0003731	Egfr
egg	FBgn0086908	egg
egh	FBgn0001404	egh
egl	FBgn0000562	egl
egl	FBgn0000560	eg
Egm	FBgn0086712	Egm
eIF-1A	FBgn0026250	eIF1A
eIF-2alpha	FBgn0261609	eIF2alpha
eIF2B-alpha	FBgn0039726	eIF2Balpha
eIF2B-beta	FBgn0024996	eIF2Bbeta
eIF2B-delta	FBgn0034858	eIF2Bdelta
eIF2B-epsilon	FBgn0023512	eIF2Bepsilon
eIF-2beta	FBgn0004926	eIF2beta
eIF2B-gamma	FBgn0034029	eIF2Bgamma
eIF-3p40	FBgn0022023	eIF3h
eIF-3p66	FBgn0040227	eIF3d1
eIF3-S10	FBgn0037249	eIF3a
eIF3-S4-1	unknown ID	-
eIF3-S5-1	unknown ID	-
eIF3-S6	FBgn0025582	eIF3e
eIF3-S8	FBgn0034258	eIF3c
eIF3-S9	FBgn0034237	eIF3b
eIF-4a	FBgn0001942	eIF4A
eIF4AIII	FBgn0037573	CG7483
eIF-4B	FBgn0020660	eIF4B
eIF-4E	FBgn0015218	eIF4E1
eIF-4E	FBgn0015218	eIF4E1
eIF4E-5	FBgn0035823	eIF4E5
eIF4G	FBgn0023213	eIF4G1
eIF4G	FBgn0023213	eIF4G1
eIF5	FBgn0030719	eIF5
eIF5	FBgn0250753	kra
eIF-5A	FBgn0285952	eEF5
eIF5B	FBgn0026259	eIF5B
eIF6	FBgn0034915	eIF6
Eip55E	FBgn0000566	Eip55E
Eip63E	FBgn0005640	Eip63E
Eip71CD	FBgn0000565	MsrA
Eip78C	FBgn0004865	Eip78C
Elf	FBgn0261609	eIF2alpha
Elf	FBgn0020443	eRF3
EloA	FBgn0039066	EloA
Elongin-B	FBgn0023212	EloB
Elongin-C	FBgn0266711	EloC
Elp3	FBgn0031604	Elp3
emb	FBgn0020497	emb
emp	FBgn0010435	emp
ena	FBgn0000578	ena
enc	FBgn0004875	enc
endoA	FBgn0038659	EndoA
endoB	FBgn0034433	EndoB
endoB	FBgn0034433	EndoB
endos	FBgn0061515	endos
Eno	FBgn0000579	Eno
Ent2	FBgn0263916	Ent2
Epac	FBgn0085421	Epac
Eps-15	FBgn0035060	Eps-15
epsilonCOP	FBgn0027496	epsilonCOP
epsin-like	FBgn0261279	lqfR
Ercc1	FBgn0028434	Ercc1
eRF1	FBgn0036974	eRF1
ergic53	FBgn0035909	ergic53
ERp60	FBgn0033663	ERp60
Es2	FBgn0023506	Es2
esc	FBgn0000588	esc
Est-6	FBgn0000592	Est-6
ESTS:172F5T	FBgn0014417	CG13397
Ets97D	FBgn0004510	Ets97D
exba	FBgn0250753	kra
exo70	FBgn0266667	Exo70
exo84	FBgn0266668	Exo84
exu	FBgn0000615	exu
Faa	FBgn0016013	Faa
fab1	FBgn0028741	fab1
Faf	FBgn0005632	faf
Faf	FBgn0025608	Faf2
faf	FBgn0005632	faf
Fak56D	FBgn0020440	Fak
Fancd2	FBgn0038827	Fancd2
Fas1	FBgn0285925	Fas1
Fas3	FBgn0000636	Fas3
fat2	FBgn0261574	kug
Fatp	FBgn0267828	Fatp1
fax	FBgn0014163	fax
fbl	FBgn0011205	fbl
fbl6	FBgn0033609	Fbl6
fbp	FBgn0032820	fbp
Fbp1	FBgn0000639	Fbp1
Fbp2	FBgn0000640	Fbp2
Fdh	FBgn0011768	Fdh
Fdxh	FBgn0011769	Fdx1
Fech	unknown ID	-
Femcoat	FBgn0041252	Femcoat
Fen1	FBgn0025832	Fen1
feo	FBgn0030241	feo
Fer2LCH	FBgn0015221	Fer2LCH
fh	FBgn0030092	fh
Fib	FBgn0003062	Fib
Fibp	FBgn0036911	Fibp
Fim	FBgn0024238	Fim
fit	FBgn0038914	fit
Fit1	FBgn0035498	Fit1
Fit2	FBgn0036688	Fit2
FK506-bp1	FBgn0013269	Fkbp39
FK506-bp2	FBgn0013954	Fkbp12
FKBP59	FBgn0029174	Fkbp59
fl(2)d	FBgn0000662	fl(2)d
flfl	FBgn0024555	flfl
fliI	FBgn0000709	fliI
Flo	FBgn0024754	Flo1
Flo	FBgn0264078	Flo2
Flo-2	FBgn0264078	Flo2
flr	FBgn0260049	flr
flw	FBgn0000711	flw
Fmr1	FBgn0028734	Fmr1
Fmr1	FBgn0028734	Fmr1
foi	FBgn0024236	foi
foi	FBal0032031	foi[neo13]
fon	FBgn0032773	fon
for	FBgn0000721	for
Fpps	FBgn0025373	Fpps
fray	FBgn0023083	fray
fred	FBgn0051774	fred
fry	FBgn0016081	fry
fry	FBgn0004652	fru
fs(1)h	FBgn0004656	fs(1)h
fs(1)K10	FBgn0000810	fs(1)K10
fs(1)K10	FBal0004297	fs(1)K10[1]
fs(1)K10	FBal0060403	fs(1)K10[unspecified]
fs(1)M3	FBgn0005390	fs(1)M3
fs(1)M3	FBgn0005390	fs(1)M3
fs(1)N	FBgn0004650	fs(1)N
fs(1)N	FBgn0004650	fs(1)N
fs(1)N	FBgn0004650	fs(1)N
fs(1)N	FBgn0004650	fs(1)N
fs(1)Ya	FBgn0000927	fs(1)Ya
Fs(2)Ket	FBgn0262743	Fs(2)Ket
fu12	FBgn0026718	Agpat2
fu2	FBgn0285971	prg
Fur1	FBgn0004509	Fur1
Fur1	FBgn0004509	Fur1
Fur2	FBgn0004598	Fur2
fus	FBgn0023441	fus
fws	FBgn0024689	fws
fzy	FBgn0001086	fzy
g	FBgn0001087	g
g	FBgn0041709	yellow-g
g	FBal0004957	g[1]
g	FBal0005002	g[X]
g	FBal0009787	l(3)68Aa[7]
g	FBal0009822	l(3)68Bb[7]
G9a	FBgn0040372	G9a
Gadd34	FBgn0034948	PPP1R15
gag	unknown ID	-
gag	unknown ID	-
galectin	FBgn0031213	galectin
GalNAc-T1	FBgn0034025	Pgant1
GalNAc-T2	FBgn0030930	Pgant7
Galpha49B	FBgn0004435	Galphaq
gammaSnap	FBgn0028552	gammaSnap1
gammaTub23C	FBgn0260639	gammaTub23C
gammaTub37C	FBgn0010097	gammaTub37C
Gap69C	FBgn0020655	ArfGAP1
Gapdh1	FBgn0001091	Gapdh1
Gapdh2	FBgn0001092	Gapdh2
garz	FBgn0264560	garz
Gas41	FBgn0031873	Gas41
gatA	FBgn0260779	GatA
GATAd	FBgn0032223	GATAd
gbb	FBgn0024234	gbb
Gbeta13F	FBgn0001105	Gbeta13F
Gbeta13F	FBgn0001105	Gbeta13F
Gbp	FBgn0034199	Gbp1
Gbp	FBgn0261119	Prp19
GckIII	FBgn0266465	GckIII
Gclc	FBgn0040319	Gclc
Gclc	FBgn0040319	Gclc
Gclm	FBgn0046114	Gclm
Gcn2	FBgn0019990	Gcn2
Gdh	FBgn0001098	Gdh
Gdh	FBgn0001128	Gpdh1
Gdh	FBgn0001098	Gdh
Gdh	FBgn0001128	Gpdh1
Gdi	FBgn0004868	Gdi
gdl	FBgn0001099	gdl
gdl	FBgn0011745	Arp1
Ge-1	FBgn0283682	Ge-1
Gef26	FBgn0265778	PDZ-GEF
gek	FBgn0023081	gek
Gel	FBgn0010225	Gel
geminin	FBgn0033081	geminin
Gfat2	FBgn0039580	Gfat2
gft	FBgn0261267	CG42615
gft	FBgn0261268	Cul3
gfzf	FBgn0250732	gfzf
Gga	FBgn0030141	Gga
Ggamma1	FBgn0004921	Ggamma1
G-ialpha65A	FBgn0001104	Galphai
gig	FBgn0005198	gig
GIIIspla2	FBgn0030013	GIIIspla2
Gint3	FBgn0034372	Gint3
GIP	FBgn0011770	Gip
Gip	FBgn0011770	Gip
gish	FBgn0250823	gish
gkt	FBgn0260817	gkt
Gl	FBgn0004618	gl
Gl	FBgn0001108	DCTN1-p150
Gl	FBal0005065	DCTN1-p150[1]
GlcAT-I	FBgn0066114	GlcAT-I
GlcAT-P	FBgn0036144	GlcAT-P
GLE1	FBgn0033316	Gle1
glo	FBgn0259139	glo
glo	FBgn0084970	gloin
Glt	FBgn0001114	Glt
glu	FBgn0015391	glu
glu	FBgn0024963	GluClalpha
Glut1	FBgn0264574	Glut1
GlyP	FBgn0004507	GlyP
GlyP	FBgn0004507	GlyP
GM130	FBgn0034697	GM130
Gmap	FBgn0027287	Gmap
Gmd	FBgn0031661	Gmd
Gmer	FBgn0267823	Gmer
GNBP3	FBgn0040321	GNBP3
Gnf1	FBgn0004913	Gnf1
Gnpda1	unknown ID	-
gnu	FBgn0001120	gnu
gnu	FBal0005121	gnu[305]
G-oalpha47A	FBgn0001122	Galphao
Golgin84	FBgn0039188	Golgin84
Gos28	FBgn0044871	Gos28
Got1	FBgn0001124	Got1
Got2	FBgn0001125	Got2
Got2	FBgn0001124	Got1
gp210	FBgn0266580	Gp210
Gp93	FBgn0039562	Gp93
Gpdh	FBgn0001128	Gpdh1
Gpo-1	FBgn0022160	Gpo1
Gprk1	FBgn0260798	Gprk1
granny-smith	FBgn0040493	grsm
Grasp65	FBgn0036919	Grasp65
grass	FBgn0039494	grass
Grip128	FBgn0026433	Grip128
Grip163	FBgn0026432	Grip163
Grip71	FBgn0032705	Grip71
Grip75	FBgn0026431	Grip75
Grip84	FBgn0026430	Grip84
gro	FBgn0001139	gro
gro	FBal0003347	E(spl)m8-HLH[r26]
gro	FBal0005217	gro[1]
growl	FBgn0263594	lost
gry	FBgn0286567	gry
GS	FBgn0266064	GlyS
GS	FBgn0036663	CG9674
GS	FBgn0052495	Gss2
GS	FBgn0030882	Gss1
GS	FBtp0021815	P{GSV1}
Gs1	FBgn0001142	Gs1
Gs1l	FBgn0019982	Gs1l
G-salpha60A	FBgn0001123	Galphas
GstD1	FBgn0001149	GstD1
GstD3	FBgn0010039	GstD3
GstD4	FBgn0010040	GstD4
GstD9	FBgn0038020	GstD9
GstE1	FBgn0034335	GstE1
GstE3	FBgn0063497	GstE3
GstE6	FBgn0063494	GstE6
GstE7	FBgn0063493	GstE7
GstE8	FBgn0063492	GstE8
GstE9	FBgn0063491	GstE9
GstS1	FBgn0010226	GstS1
GstS1	FBgn0010226	GstS1
Gtp-bp	FBgn0010339	128up
Gtp-bp	FBgn0010391	SrpRalpha
gwl	FBgn0260399	gwl
Gyk	FBgn0025592	Gk1
Haspin	FBgn0046706	Haspin
hay	FBgn0001179	hay
hay	FBgn0001179	hay
HBS1	FBgn0042712	HBS1
Hcf	FBgn0039904	Hcf
Hcs	FBgn0037332	Hcs
hd	FBgn0086695	hd
Hdac3	FBgn0025825	HDAC3
HDAC6	FBgn0026428	HDAC6
Hdm	FBgn0260397	Su(var)3-3
Hel25E	FBgn0014189	Hel25E
Hel89B	FBgn0022787	Hel89B
Hem	FBgn0011771	Hem
hep	FBgn0010303	hep
heph	FBgn0011224	heph
HERC2	FBgn0031107	HERC2
Hex-A	FBgn0001186	Hex-A
Hexo1	FBgn0041630	Hexo1
Hexo2	FBgn0041629	Hexo2
Hira	FBgn0022786	Hira
His1	FBgn0001195	His1
His2A	FBgn0001196	His2A
His2A	FBgn0001197	His2Av
His2Av	FBgn0001197	His2Av
His2B	FBgn0001198	His2B
His3	FBgn0001199	His3
His3	FBgn0051613	His3:CG31613
His3	FBgn0053866	His3:CG33866
His4	FBgn0001200	His4
hk	FBgn0263220	Hk
hk	FBgn0001202	hook
hkl	FBgn0263198	Acn
Hlc	FBgn0001565	Hlc
HmgD	FBgn0004362	HmgD
Hmgs	FBgn0010611	Hmgs
HmgZ	FBgn0010228	HmgZ
Hmu	FBgn0015737	Hmu
Ho	FBgn0037933	Ho
Ho	FBgn0003211	rbl
hoe1	FBgn0041150	hoe1
hoip	FBgn0286786	hoip
homer	FBgn0025777	homer
homer	FBgn0025777	homer
Hop	FBgn0024352	Stip1
Hop	FBgn0004864	hop
how	FBgn0264491	how
how	FBti0150063	P{GawB}how[24B]
HP1b	FBgn0030082	HP1b
HP1c	FBgn0039019	HP1c
hpo	FBgn0261456	hpo
Hpr1	FBgn0037382	Hpr1
Hrb27C	FBgn0004838	Hrb27C
Hrb27C	FBgn0004838	Hrb27C
Hrb87F	FBgn0004237	Hrb87F
Hrb98DE	FBgn0001215	Hrb98DE
Hrb98DE	FBgn0001215	Hrb98DE
hrg	FBgn0015949	hrg
Hrs	FBgn0031450	Hrs
Hsc70-1	FBgn0001216	Hsc70-1
Hsc70-2	FBgn0001217	Hsc70-2
Hsc70-3	FBgn0001218	Hsc70-3
Hsc70-4	FBgn0266599	Hsc70-4
Hsc70-5	FBgn0001220	Hsc70-5
Hsp23	FBgn0001224	Hsp23
Hsp26	FBgn0001225	Hsp26
Hsp27	FBgn0001226	Hsp27
Hsp60	FBgn0031728	Hsp60C
Hsp60	FBgn0011244	Hsp60B
Hsp60	FBgn0015245	Hsp60A
Hsp70Ab	FBgn0013276	Hsp70Ab
Hsp70Ba	FBgn0013277	Hsp70Ba
Hsp83	FBgn0001233	Hsp83
HtrA2	FBgn0038233	HtrA2
hts	FBgn0263391	hts
htt	FBgn0027655	htt
Hus1-like	FBgn0026417	Hus1-like
hyd	FBgn0002431	hyd
hyx	FBgn0037657	hyx
I-2	FBgn0028429	I-2
I-2	FBtp0036676	P{C15.I-2.hs43-lacZ}
ial	FBgn0024227	aurB
Iap2	FBgn0015247	Diap2
Ice	FBgn0019972	Drice
icln	FBgn0029079	icln
ics	FBgn0028546	ics
ics	FBal0137650	ics[BG02577]
ida	FBgn0041147	ida
Ide	FBgn0001247	Ide
Idgf2	FBgn0020415	Idgf2
Idgf3	FBgn0020414	Idgf3
Idgf4	FBgn0026415	Idgf4
Idh	FBgn0001248	Idh
Idh	FBgn0038922	Idh3b
if	FBgn0001250	if
ik2	FBgn0086657	IKKepsilon
Ilk	FBgn0028427	Ilk
IM10	FBgn0283462	IMPPP
imd	FBgn0013983	imd
imd	FBal0045906	imd[1]
Imp	FBgn0285926	Imp
Incenp	FBgn0260991	Incenp
Indy	FBgn0036816	Indy
Inos	FBgn0025885	Inos
insc	FBgn0011674	insc
Invadolysin	FBgn0086359	Invadolysin
inx2	FBgn0027108	Inx2
inx3	FBgn0265274	Inx3
Ip259	FBgn0025366	Ip259
Ipk2	FBgn0031267	Ipk2
Ir	FBgn0028675	Sur
Ir	FBgn0265042	Irk1
Irbp	FBgn0011774	Irbp
Irp-1A	FBgn0024958	Irp-1A
Irp-1B	FBgn0024957	Irp-1B
Iswi	FBgn0011604	Iswi
Itp-r83A	FBgn0010051	Itpr
ix	FBgn0001276	ix
ix	FBal0005628	ix[1]
ix	FBal0005629	ix[2]
Jafrac1	FBgn0040309	Jafrac1
Jafrac2	FBgn0040308	Jafrac2
jagn	FBgn0037374	jagn
janA	FBgn0001280	janA
jar	FBgn0011225	jar
jbug	FBgn0028371	jbug
Jhd1	unknown ID	-
Jhebp29	FBgn0035088	CG3776
Jheh1	FBgn0010053	Jheh1
Jheh2	FBgn0034405	Jheh2
Jheh3	FBgn0034406	Jheh3
JhI-1	FBgn0028426	RNaseZ
JhI-21	FBgn0028425	JhI-21
Jupiter	FBgn0051363	Jupiter
Kap-alpha1	FBgn0024889	Kap-alpha1
Kap-alpha3	FBgn0027338	Kap-alpha3
Karybeta3	FBgn0087013	Karybeta3
kat80	FBgn0040207	kat80
KdelR	FBgn0267330	KdelR
kdn	FBgn0261955	kdn
kdn	FBal0005683	kdn[PC64]
kek4	FBgn0032484	kek4
kek5	FBgn0031016	kek5
kek5	FBtp0018362	P{UAS-kek5.GFP}
Keren	FBgn0052179	Krn
kermit	FBgn0010504	kermit
key	FBgn0041205	key
KH1	FBgn0086130	Dbp21E2
Khc	FBgn0001308	Khc
Khc-73	FBgn0019968	Khc-73
kin17	FBgn0024887	kin17
kis	FBgn0266557	kis
klar	FBgn0001316	klar
Klc	FBgn0010235	Klc
Klp10A	FBgn0030268	Klp10A
Klp10A	FBgn0030268	Klp10A
Klp31E	FBgn0032243	Klp31E
Klp3A	FBgn0011606	Klp3A
Klp61F	FBgn0004378	Klp61F
Klp67A	FBgn0004379	Klp67A
Kmn1	FBgn0027259	Kmn1
koi	FBgn0265003	koi
koko	FBgn0264816	koko
Kr-h2	FBgn0266449	Kr-h2
krz	FBgn0040206	krz
kst	FBgn0004167	kst
kto	FBgn0001324	kto
Ku80	FBgn0041627	Ku80
kuz	FBgn0259984	kuz
kz	FBgn0001330	kz
L	FBgn0267825	L
L	FBgn0267824	PRAS40
L	FBgn0001954	l(2)28Ac
L	FBgn0023039	l(2)46Ed
L	FBgn0002571	Mal-A3
L	FBal0005881	L[1]
L	FBal0005884	L[4]
L	FBal0117994	w[hdrvL]
L	FBal0327405	Ythdf[NP2]
L	FBti0040429	P{lacW}Gclm[L0580]
l(1)10Bb	FBgn0001491	l(1)10Bb
l(1)1Bi	FBgn0001341	Mybbp1A
l(1)dd4	FBgn0001612	Grip91
l(1)G0004	FBgn0027334	l(1)G0004
l(1)G0004	FBal0098227	l(1)G0004[G0004]
l(1)G0007	FBgn0026713	l(1)G0007
l(1)G0007	FBal0096859	l(1)G0007[G0007]
l(1)G0020	FBgn0027330	l(1)G0020
l(1)G0020	FBal0098223	l(1)G0020[G0020]
l(1)G0045	FBgn0026702	Pop1
l(1)G0045	FBal0096848	Pop1[G0045]
l(1)G0060	FBgn0261383	IntS6
l(1)G0060	FBgn0265523	Smr
l(1)G0060	FBal0239025	Smr[G0060]
l(1)G0136	FBgn0026666	MagR
l(1)G0136	FBal0096812	MagR[G0136]
l(1)G0155	FBgn0260858	Ykt6
l(1)G0155	FBal0096810	Ykt6[G0155]
l(1)G0156	FBgn0027291	Idh3a
l(1)G0156	FBal0098184	Idh3a[G0156]
l(1)G0193	FBgn0027280	l(1)G0193
l(1)G0193	FBal0098173	l(1)G0193[G0193]
l(1)G0196	FBgn0027279	l(1)G0196
l(1)G0196	FBal0098172	l(1)G0196[G0196]
l(1)G0222	FBgn0028343	Ankle2
l(1)G0222	FBal0100335	Ankle2[G0222]
l(1)G0230	FBgn0028342	ATPsyndelta
l(1)G0230	FBal0100334	ATPsyndelta[G0230]
l(1)G0232	FBgn0028341	Ptpmeg2
l(1)G0232	FBal0100333	Ptpmeg2[G0232]
l(1)G0255	FBgn0286222	Fum1
l(1)G0255	FBal0100328	Fum1[G0255]
l(1)G0269	FBgn0029067	Dd
l(1)G0269	FBal0102645	Dd[G0269]
l(1)G0289	FBgn0028331	l(1)G0289
l(1)G0289	FBal0100323	l(1)G0289[G0289]
l(1)G0320	FBgn0028327	l(1)G0320
l(1)G0320	FBal0100319	l(1)G0320[G0320]
l(1)G0334	FBgn0028325	Pdha
l(1)G0334	FBal0100317	Pdha[G0334]
l(1)G0431	FBgn0266284	Ns3
l(2)01810	FBgn0010497	dmGlut
l(2)01810	FBal0007983	dmGlut[01810]
l(2)03709	FBgn0010551	Phb2
l(2)03709	FBal0008037	Phb2[03709]
L(2)04524	unknown ID	-
l(2)05070	FBgn0010590	Prosbeta1
l(2)05070	FBal0008076	Prosbeta1[05070]
l(2)06225	FBgn0010612	ATPsynG
l(2)06225	FBal0008100	ATPsynG[06225]
l(2)06496	FBgn0010622	DCTN3-p24
l(2)06496	FBal0008111	DCTN3-p24[06496]
l(2)06496	FBti0005312	P{PZ}DCTN3-p24[06496]
l(2)09851	FBgn0022288	l(2)09851
l(2)09851	FBal0064677	l(2)09851[09851]
l(2)35Bd	FBgn0286027	Rnmt
l(2)35Bg	FBgn0001977	CIAPIN1
l(2)35Cc	FBgn0259982	Uxt
l(2)35Df	FBgn0001986	Mtr4
l(2)35Di	FBgn0001989	ND-B17
l(2)37Bb	FBgn0002021	l(2)37Bb
l(2)37Cb	FBgn0086444	l(2)37Cb
l(2)37Cc	FBgn0002031	l(2)37Cc
l(2)37Ce	FBgn0086446	DCTN6-p27
l(2)37Cg	FBgn0086447	l(2)37Cg
l(2)44DEa	FBgn0263120	Acsl
l(2)efl	FBgn0011296	l(2)efl
l(2)gd1	FBgn0261983	l(2)gd1
l(2)gd1	FBal0004795	ft[9]
l(2)gl	FBgn0002121	l(2)gl
l(2)k01209	FBgn0022029	l(2)k01209
l(2)k01209	FBab0047223	Df(2R)k08901
l(2)k01209	FBal0064598	l(2)k01209[k01209]
l(2)k07824	FBgn0262560	wcd
l(2)k07824	FBal0064366	wcd[k07824]
l(2)k09022	FBgn0086451	l(2)k09022
l(2)k09022	FBal0064296	l(2)k09022[k09022]
l(2)k09913	FBgn0021979	l(2)k09913
l(2)k09913	FBal0064244	l(2)k09913[k09913]
l(2)k14505	FBgn0021856	l(2)k14505
l(2)k14505	FBal0064104	l(2)k14505[k14505]
l(2)k14710	FBgn0021847	Ttc7
l(2)k14710	FBal0064095	Ttc7[k14710]
l(2)NC136	FBgn0033029	Not3
l(2)not	FBgn0011297	Alg3
l(2)s5379	FBgn0267378	sau
l(2)s5379	FBal0009326	sau[s5379]
l(2)tid	FBgn0002174	CG5504
l(2)tid	FBgn0011297	Alg3
l(3)01239	FBgn0010741	Pfdn2
l(3)01239	FBal0009405	Pfdn2[01239]
l(3)02640	FBgn0010786	l(3)02640
l(3)02640	FBal0009453	l(3)02640[02640]
l(3)03670	FBgn0010808	Chchd3
